Token;Valor
CLASS;class
IDENTIFICADOR;Linear_algebrar
DOIS_PONTOS;:
PALAVRA_RESERVADA;def
INIT;__init__
PARENTESE_ESQUERDO;(
IDENTIFICADOR;self
PARENTESE_DIREITO;)
DOIS_PONTOS;:
PALAVRA_RESERVADA;print
PARENTESE_ESQUERDO;(
TEXTO;'Vamos começar a brincar...'
PARENTESE_DIREITO;)
PALAVRA_RESERVADA;def
IDENTIFICADOR;scalar_product
PARENTESE_ESQUERDO;(
IDENTIFICADOR;self
VIRGULA;,
IDENTIFICADOR;m1
DOIS_PONTOS;:
IDENTIFICADOR;list
VIRGULA;,
IDENTIFICADOR;m2
DOIS_PONTOS;:
IDENTIFICADOR;list
PARENTESE_DIREITO;)
DOIS_PONTOS;:
IDENTIFICADOR;step_one
ATRIBUICAO;=
COLCHETE_ESQUERDO;[
IDENTIFICADOR;x
MULTIPLICACAO;*
IDENTIFICADOR;y
PALAVRA_RESERVADA;for
IDENTIFICADOR;x
VIRGULA;,
IDENTIFICADOR;y
PALAVRA_RESERVADA;in
IDENTIFICADOR;zip
PARENTESE_ESQUERDO;(
IDENTIFICADOR;m1
VIRGULA;,
IDENTIFICADOR;m2
PARENTESE_DIREITO;)
COLCHETE_DIREITO;]
IDENTIFICADOR;step_two
ATRIBUICAO;=
IDENTIFICADOR;sum
PARENTESE_ESQUERDO;(
IDENTIFICADOR;step_one
COLCHETE_ESQUERDO;[
DOIS_PONTOS;:
COLCHETE_DIREITO;]
PARENTESE_DIREITO;)
PALAVRA_RESERVADA;return
IDENTIFICADOR;step_two
IDENTIFICADOR;linear
ATRIBUICAO;=
IDENTIFICADOR;Linear_algebrar
PARENTESE_ESQUERDO;(
PARENTESE_DIREITO;)
IDENTIFICADOR;res
ATRIBUICAO;=
IDENTIFICADOR;linear
PONTO;.
IDENTIFICADOR;scalar_product
PARENTESE_ESQUERDO;(
COLCHETE_ESQUERDO;[
NUMERO;2
VIRGULA;,
NUMERO;4
VIRGULA;,
NUMERO;2
COLCHETE_DIREITO;]
VIRGULA;,
COLCHETE_ESQUERDO;[
NUMERO;2
VIRGULA;,
NUMERO;4
VIRGULA;,
NUMERO;2
COLCHETE_DIREITO;]
PARENTESE_DIREITO;)
SUBTRAÇÃO;-
INVALIDO;>
INVALIDO;$
PALAVRA_RESERVADA;print
PARENTESE_ESQUERDO;(
IDENTIFICADOR;f
TEXTO;'Resultado da multiplicação de matrizes: {res}'
PARENTESE_DIREITO;)
